ROUND_NO1	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
25	0	0	0.6	0.6	15.00	15.00	30.00	30.00
26	0	0	0.6	0.6	15.60	15.60	30.00	30.00
27	0	0	0.6	0.6	16.20	16.20	30.00	30.00
28	0	0	0.6	0.6	16.80	16.80	30.00	30.00
29	0	0	0.6	0.6	17.40	17.40	30.00	30.00
30	0	0	0.6	0.6	18.00	18.00	30.00	30.00
31	0	0	0.6	0.6	18.60	18.60	30.00	30.00
32	0	0	0.6	0.6	19.20	19.20	30.00	30.00
33	0	0	0.6	0.6	19.80	19.80	30.00	30.00
34	0	0	0.6	0.6	20.40	20.40	30.00	30.00
35	0	0	0.6	0.6	21.00	21.00	30.00	30.00
36	0	0	0.6	0.6	21.60	21.60	30.00	30.00
37	0	0	0.6	0.6	22.20	22.20	30.00	30.00
38	0	0	0.6	0.6	22.80	22.80	30.00	30.00
39	0	0	0.6	0.6	23.40	23.40	30.00	30.00
40	0	0	0.6	0.6	24.00	24.00	30.00	30.00
41	0	0	0.6	0.6	24.60	24.60	30.00	30.00
42	0	0	0.6	0.6	25.20	25.20	30.00	30.00
43	0	0	0.6	0.6	25.80	25.80	30.00	30.00
44	0	0	0.6	0.6	26.40	26.40	30.00	30.00
45	0	0	0.6	0.6	27.00	27.00	30.00	30.00
46	0	0	0.6	0.6	27.60	27.60	30.00	30.00
47	0	0	0.6	0.6	28.20	28.20	30.00	30.00
48	0	0	0.6	0.6	28.80	28.80	30.00	30.00
49	0	0	0.6	0.6	29.40	29.40	30.00	30.00
50	0	0	0.6	0.6	30.00	30.00	30.00	30.00
ROUND_NO7	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	0	0	0.6	0.6	0.60	0.60	30.00	30.00
2	0	0	0.6	0.6	1.20	1.20	30.00	30.00
3	0	0	0.6	0.6	1.80	1.80	30.00	30.00
4	0	0	0.6	0.6	2.40	2.40	30.00	30.00
5	0	0	0.6	0.6	3.00	3.00	30.00	30.00
6	0	0	0.6	0.6	3.60	3.60	30.00	30.00
7	0	0	0.6	0.6	4.20	4.20	30.00	30.00
8	0	0	0.6	0.6	4.80	4.80	30.00	30.00
9	0	0	0.6	0.6	5.40	5.40	30.00	30.00
10	0	0	0.6	0.6	6.00	6.00	30.00	30.00
11	0	0	0.6	0.6	6.60	6.60	30.00	30.00
12	0	0	0.6	0.6	7.20	7.20	30.00	30.00
13	0	0	0.6	0.6	7.80	7.80	30.00	30.00
14	0	0	0.6	0.6	8.40	8.40	30.00	30.00
15	0	0	0.6	0.6	9.00	9.00	30.00	30.00
16	0	0	0.6	0.6	9.60	9.60	30.00	30.00
17	0	0	0.6	0.6	10.20	10.20	30.00	30.00
18	0	0	0.6	0.6	10.80	10.80	30.00	30.00
19	0	0	0.6	0.6	11.40	11.40	30.00	30.00
20	0	0	0.6	0.6	12.00	12.00	30.00	30.00
21	0	0	0.6	0.6	12.60	12.60	30.00	30.00
22	0	0	0.6	0.6	13.20	13.20	30.00	30.00
23	0	0	0.6	0.6	13.80	13.80	30.00	30.00
24	0	0	0.6	0.6	14.40	14.40	30.00	30.00
25	0	0	0.6	0.6	15.00	15.00	30.00	30.00
26	0	0	0.6	0.6	15.60	15.60	30.00	30.00
27	0	0	0.6	0.6	16.20	16.20	30.00	30.00
28	0	0	0.6	0.6	16.80	16.80	30.00	30.00
29	0	0	0.6	0.6	17.40	17.40	30.00	30.00
30	0	0	0.6	0.6	18.00	18.00	30.00	30.00
31	0	0	0.6	0.6	18.60	18.60	30.00	30.00
32	0	0	0.6	0.6	19.20	19.20	30.00	30.00
33	0	0	0.6	0.6	19.80	19.80	30.00	30.00
34	0	0	0.6	0.6	20.40	20.40	30.00	30.00
35	0	0	0.6	0.6	21.00	21.00	30.00	30.00
36	0	0	0.6	0.6	21.60	21.60	30.00	30.00
37	0	0	0.6	0.6	22.20	22.20	30.00	30.00
38	0	0	0.6	0.6	22.80	22.80	30.00	30.00
39	0	0	0.6	0.6	23.40	23.40	30.00	30.00
40	0	0	0.6	0.6	24.00	24.00	30.00	30.00
41	0	0	0.6	0.6	24.60	24.60	30.00	30.00
42	0	0	0.6	0.6	25.20	25.20	30.00	30.00
43	0	0	0.6	0.6	25.80	25.80	30.00	30.00
44	0	0	0.6	0.6	26.40	26.40	30.00	30.00
45	0	0	0.6	0.6	27.00	27.00	30.00	30.00
46	0	0	0.6	0.6	27.60	27.60	30.00	30.00
47	0	0	0.6	0.6	28.20	28.20	30.00	30.00
48	0	0	0.6	0.6	28.80	28.80	30.00	30.00
49	0	0	0.6	0.6	29.40	29.40	30.00	30.00
50	0	0	0.6	0.6	30.00	30.00	30.00	30.00
ROUND_NO8	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	1	0	1	0	1.00	0.00	30.40	29.40
2	0	0	0.6	0.6	1.60	0.60	30.40	29.40
3	0	0	0.6	0.6	2.20	1.20	30.40	29.40
4	0	0	0.6	0.6	2.80	1.80	30.40	29.40
5	0	0	0.6	0.6	3.40	2.40	30.40	29.40
6	0	0	0.6	0.6	4.00	3.00	30.40	29.40
7	0	0	0.6	0.6	4.60	3.60	30.40	29.40
8	0	0	0.6	0.6	5.20	4.20	30.40	29.40
9	0	0	0.6	0.6	5.80	4.80	30.40	29.40
10	0	0	0.6	0.6	6.40	5.40	30.40	29.40
11	0	0	0.6	0.6	7.00	6.00	30.40	29.40
12	0	0	0.6	0.6	7.60	6.60	30.40	29.40
13	0	0	0.6	0.6	8.20	7.20	30.40	29.40
14	0	0	0.6	0.6	8.80	7.80	30.40	29.40
15	0	0	0.6	0.6	9.40	8.40	30.40	29.40
16	0	0	0.6	0.6	10.00	9.00	30.40	29.40
17	0	0	0.6	0.6	10.60	9.60	30.40	29.40
18	0	0	0.6	0.6	11.20	10.20	30.40	29.40
19	0	0	0.6	0.6	11.80	10.80	30.40	29.40
20	0	0	0.6	0.6	12.40	11.40	30.40	29.40
21	0	0	0.6	0.6	13.00	12.00	30.40	29.40
22	0	0	0.6	0.6	13.60	12.60	30.40	29.40
23	0	0	0.6	0.6	14.20	13.20	30.40	29.40
24	0	0	0.6	0.6	14.80	13.80	30.40	29.40
25	0	0	0.6	0.6	15.40	14.40	30.40	29.40
26	0	0	0.6	0.6	16.00	15.00	30.40	29.40
27	0	0	0.6	0.6	16.60	15.60	30.40	29.40
28	0	0	0.6	0.6	17.20	16.20	30.40	29.40
29	0	0	0.6	0.6	17.80	16.80	30.40	29.40
30	0	0	0.6	0.6	18.40	17.40	30.40	29.40
31	0	0	0.6	0.6	19.00	18.00	30.40	29.40
32	0	0	0.6	0.6	19.60	18.60	30.40	29.40
33	0	0	0.6	0.6	20.20	19.20	30.40	29.40
34	0	0	0.6	0.6	20.80	19.80	30.40	29.40
35	0	0	0.6	0.6	21.40	20.40	30.40	29.40
36	0	0	0.6	0.6	22.00	21.00	30.40	29.40
37	0	0	0.6	0.6	22.60	21.60	30.40	29.40
38	0	0	0.6	0.6	23.20	22.20	30.40	29.40
39	0	0	0.6	0.6	23.80	22.80	30.40	29.40
40	0	0	0.6	0.6	24.40	23.40	30.40	29.40
41	0	0	0.6	0.6	25.00	24.00	30.40	29.40
42	0	0	0.6	0.6	25.60	24.60	30.40	29.40
43	0	0	0.6	0.6	26.20	25.20	30.40	29.40
44	0	0	0.6	0.6	26.80	25.80	30.40	29.40
45	0	0	0.6	0.6	27.40	26.40	30.40	29.40
46	0	0	0.6	0.6	28.00	27.00	30.40	29.40
47	0	0	0.6	0.6	28.60	27.60	30.40	29.40
48	0	0	0.6	0.6	29.20	28.20	30.40	29.40
49	0	0	0.6	0.6	29.80	28.80	30.40	29.40
50	0	0	0.6	0.6	30.40	29.40	30.40	29.40
ROUND_NO9	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	1	0	1	0	1.00	0.00	30.40	29.40
2	0	0	0.6	0.6	1.60	0.60	30.40	29.40
3	0	0	0.6	0.6	2.20	1.20	30.40	29.40
4	0	0	0.6	0.6	2.80	1.80	30.40	29.40
5	0	0	0.6	0.6	3.40	2.40	30.40	29.40
6	0	0	0.6	0.6	4.00	3.00	30.40	29.40
7	0	0	0.6	0.6	4.60	3.60	30.40	29.40
8	0	0	0.6	0.6	5.20	4.20	30.40	29.40
9	0	0	0.6	0.6	5.80	4.80	30.40	29.40
10	0	0	0.6	0.6	6.40	5.40	30.40	29.40
11	0	0	0.6	0.6	7.00	6.00	30.40	29.40
12	0	0	0.6	0.6	7.60	6.60	30.40	29.40
13	0	0	0.6	0.6	8.20	7.20	30.40	29.40
14	0	0	0.6	0.6	8.80	7.80	30.40	29.40
15	0	0	0.6	0.6	9.40	8.40	30.40	29.40
16	0	0	0.6	0.6	10.00	9.00	30.40	29.40
17	0	0	0.6	0.6	10.60	9.60	30.40	29.40
18	0	0	0.6	0.6	11.20	10.20	30.40	29.40
19	0	0	0.6	0.6	11.80	10.80	30.40	29.40
20	0	0	0.6	0.6	12.40	11.40	30.40	29.40
21	0	0	0.6	0.6	13.00	12.00	30.40	29.40
22	0	0	0.6	0.6	13.60	12.60	30.40	29.40
23	0	0	0.6	0.6	14.20	13.20	30.40	29.40
24	0	0	0.6	0.6	14.80	13.80	30.40	29.40
25	0	0	0.6	0.6	15.40	14.40	30.40	29.40
26	0	0	0.6	0.6	16.00	15.00	30.40	29.40
27	0	0	0.6	0.6	16.60	15.60	30.40	29.40
28	0	0	0.6	0.6	17.20	16.20	30.40	29.40
29	0	0	0.6	0.6	17.80	16.80	30.40	29.40
30	0	0	0.6	0.6	18.40	17.40	30.40	29.40
31	0	0	0.6	0.6	19.00	18.00	30.40	29.40
32	0	0	0.6	0.6	19.60	18.60	30.40	29.40
33	0	0	0.6	0.6	20.20	19.20	30.40	29.40
34	0	0	0.6	0.6	20.80	19.80	30.40	29.40
35	0	0	0.6	0.6	21.40	20.40	30.40	29.40
36	0	0	0.6	0.6	22.00	21.00	30.40	29.40
37	0	0	0.6	0.6	22.60	21.60	30.40	29.40
38	0	0	0.6	0.6	23.20	22.20	30.40	29.40
39	0	0	0.6	0.6	23.80	22.80	30.40	29.40
40	0	0	0.6	0.6	24.40	23.40	30.40	29.40
41	0	0	0.6	0.6	25.00	24.00	30.40	29.40
42	0	0	0.6	0.6	25.60	24.60	30.40	29.40
43	0	0	0.6	0.6	26.20	25.20	30.40	29.40
44	0	0	0.6	0.6	26.80	25.80	30.40	29.40
45	0	0	0.6	0.6	27.40	26.40	30.40	29.40
46	0	0	0.6	0.6	28.00	27.00	30.40	29.40
