ROUND_NO1	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
40	1	0	1	0	24.20	22.20	34.20	22.20
41	1	0	1	0	25.20	22.20	34.20	22.20
42	1	0	1	0	26.20	22.20	34.20	22.20
43	1	0	1	0	27.20	22.20	34.20	22.20
44	1	0	1	0	28.20	22.20	34.20	22.20
45	1	0	1	0	29.20	22.20	34.20	22.20
46	1	0	1	0	30.20	22.20	34.20	22.20
47	1	0	1	0	31.20	22.20	34.20	22.20
48	1	0	1	0	32.20	22.20	34.20	22.20
49	1	0	1	0	33.20	22.20	34.20	22.20
50	1	0	1	0	34.20	22.20	34.20	22.20
ROUND_NO86	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	1	1	0.2	0.2	0.20	0.20	27.60	23.60
2	0	0	0.6	0.6	0.80	0.80	27.60	23.60
3	0	0	0.6	0.6	1.40	1.40	27.60	23.60
4	1	0	1	0	2.40	1.40	27.60	23.60
5	0	1	0	1	2.40	2.40	27.60	23.60
6	1	0	1	0	3.40	2.40	27.60	23.60
7	0	1	0	1	3.40	3.40	27.60	23.60
8	1	0	1	0	4.40	3.40	27.60	23.60
9	0	1	0	1	4.40	4.40	27.60	23.60
10	1	0	1	0	5.40	4.40	27.60	23.60
11	0	1	0	1	5.40	5.40	27.60	23.60
12	1	0	1	0	6.40	5.40	27.60	23.60
13	0	1	0	1	6.40	6.40	27.60	23.60
14	1	0	1	0	7.40	6.40	27.60	23.60
15	0	1	0	1	7.40	7.40	27.60	23.60
16	1	0	1	0	8.40	7.40	27.60	23.60
17	0	1	0	1	8.40	8.40	27.60	23.60
18	1	0	1	0	9.40	8.40	27.60	23.60
19	0	1	0	1	9.40	9.40	27.60	23.60
20	1	0	1	0	10.40	9.40	27.60	23.60
21	0	1	0	1	10.40	10.40	27.60	23.60
22	1	0	1	0	11.40	10.40	27.60	23.60
23	0	1	0	1	11.40	11.40	27.60	23.60
24	1	0	1	0	12.40	11.40	27.60	23.60
25	0	1	0	1	12.40	12.40	27.60	23.60
26	1	0	1	0	13.40	12.40	27.60	23.60
27	0	1	0	1	13.40	13.40	27.60	23.60
28	1	0	1	0	14.40	13.40	27.60	23.60
29	0	1	0	1	14.40	14.40	27.60	23.60
30	1	0	1	0	15.40	14.40	27.60	23.60
31	0	0	0.6	0.6	16.00	15.00	27.60	23.60
32	1	0	1	0	17.00	15.00	27.60	23.60
33	0	0	0.6	0.6	17.60	15.60	27.60	23.60
34	1	0	1	0	18.60	15.60	27.60	23.60
35	0	0	0.6	0.6	19.20	16.20	27.60	23.60
36	0	0	0.6	0.6	19.80	16.80	27.60	23.60
37	0	0	0.6	0.6	20.40	17.40	27.60	23.60
38	0	0	0.6	0.6	21.00	18.00	27.60	23.60
39	0	0	0.6	0.6	21.60	18.60	27.60	23.60
40	1	0	1	0	22.60	18.60	27.60	23.60
41	0	0	0.6	0.6	23.20	19.20	27.60	23.60
42	1	1	0.2	0.2	23.40	19.40	27.60	23.60
43	1	1	0.2	0.2	23.60	19.60	27.60	23.60
44	0	0	0.6	0.6	24.20	20.20	27.60	23.60
45	1	0	1	0	25.20	20.20	27.60	23.60
46	0	0	0.6	0.6	25.80	20.80	27.60	23.60
47	0	1	0	1	25.80	21.80	27.60	23.60
48	0	0	0.6	0.6	26.40	22.40	27.60	23.60
49	0	0	0.6	0.6	27.00	23.00	27.60	23.60
50	0	0	0.6	0.6	27.60	23.60	27.60	23.60
ROUND_NO87	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	0	0	0.6	0.6	0.60	0.60	26.40	28.40
2	0	0	0.6	0.6	1.20	1.20	26.40	28.40
3	0	0	0.6	0.6	1.80	1.80	26.40	28.40
4	1	1	0.2	0.2	2.00	2.00	26.40	28.40
5	0	0	0.6	0.6	2.60	2.60	26.40	28.40
6	0	0	0.6	0.6	3.20	3.20	26.40	28.40
7	0	0	0.6	0.6	3.80	3.80	26.40	28.40
8	1	0	1	0	4.80	3.80	26.40	28.40
9	0	0	0.6	0.6	5.40	4.40	26.40	28.40
10	0	0	0.6	0.6	6.00	5.00	26.40	28.40
11	0	0	0.6	0.6	6.60	5.60	26.40	28.40
12	0	0	0.6	0.6	7.20	6.20	26.40	28.40
13	0	0	0.6	0.6	7.80	6.80	26.40	28.40
14	0	0	0.6	0.6	8.40	7.40	26.40	28.40
15	0	0	0.6	0.6	9.00	8.00	26.40	28.40
16	0	0	0.6	0.6	9.60	8.60	26.40	28.40
17	0	0	0.6	0.6	10.20	9.20	26.40	28.40
18	0	0	0.6	0.6	10.80	9.80	26.40	28.40
19	0	0	0.6	0.6	11.40	10.40	26.40	28.40
20	0	0	0.6	0.6	12.00	11.00	26.40	28.40
21	0	0	0.6	0.6	12.60	11.60	26.40	28.40
22	0	0	0.6	0.6	13.20	12.20	26.40	28.40
23	0	0	0.6	0.6	13.80	12.80	26.40	28.40
24	0	0	0.6	0.6	14.40	13.40	26.40	28.40
25	0	0	0.6	0.6	15.00	14.00	26.40	28.40
26	0	0	0.6	0.6	15.60	14.60	26.40	28.40
27	0	0	0.6	0.6	16.20	15.20	26.40	28.40
28	0	0	0.6	0.6	16.80	15.80	26.40	28.40
29	0	0	0.6	0.6	17.40	16.40	26.40	28.40
30	0	0	0.6	0.6	18.00	17.00	26.40	28.40
31	0	0	0.6	0.6	18.60	17.60	26.40	28.40
32	0	0	0.6	0.6	19.20	18.20	26.40	28.40
33	0	1	0	1	19.20	19.20	26.40	28.40
34	0	0	0.6	0.6	19.80	19.80	26.40	28.40
35	0	0	0.6	0.6	20.40	20.40	26.40	28.40
36	1	0	1	0	21.40	20.40	26.40	28.40
37	1	1	0.2	0.2	21.60	20.60	26.40	28.40
38	1	1	0.2	0.2	21.80	20.80	26.40	28.40
39	0	0	0.6	0.6	22.40	21.40	26.40	28.40
40	0	0	0.6	0.6	23.00	22.00	26.40	28.40
41	1	1	0.2	0.2	23.20	22.20	26.40	28.40
42	1	1	0.2	0.2	23.40	22.40	26.40	28.40
43	0	0	0.6	0.6	24.00	23.00	26.40	28.40
44	0	1	0	1	24.00	24.00	26.40	28.40
45	0	1	0	1	24.00	25.00	26.40	28.40
46	0	0	0.6	0.6	24.60	25.60	26.40	28.40
47	0	0	0.6	0.6	25.20	26.20	26.40	28.40
48	0	0	0.6	0.6	25.80	26.80	26.40	28.40
49	0	0	0.6	0.6	26.40	27.40	26.40	28.40
50	0	1	0	1	26.40	28.40	26.40	28.40
ROUND_NO88	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	1	0	1	0	1.00	0.00	25.00	26.00
2	0	1	0	1	1.00	1.00	25.00	26.00
3	0	0	0.6	0.6	1.60	1.60	25.00	26.00
4	0	1	0	1	1.60	2.60	25.00	26.00
5	0	0	0.6	0.6	2.20	3.20	25.00	26.00
6	0	0	0.6	0.6	2.80	3.80	25.00	26.00
7	0	0	0.6	0.6	3.40	4.40	25.00	26.00
8	0	0	0.6	0.6	4.00	5.00	25.00	26.00
9	1	0	1	0	5.00	5.00	25.00	26.00
10	0	1	0	1	5.00	6.00	25.00	26.00
11	1	0	1	0	6.00	6.00	25.00	26.00
12	0	1	0	1	6.00	7.00	25.00	26.00
13	1	0	1	0	7.00	7.00	25.00	26.00
14	0	1	0	1	7.00	8.00	25.00	26.00
15	1	0	1	0	8.00	8.00	25.00	26.00
16	0	1	0	1	8.00	9.00	25.00	26.00
17	1	0	1	0	9.00	9.00	25.00	26.00
18	0	1	0	1	9.00	10.00	25.00	26.00
19	1	0	1	0	10.00	10.00	25.00	26.00
20	0	1	0	1	10.00	11.00	25.00	26.00
21	1	0	1	0	11.00	11.00	25.00	26.00
22	0	1	0	1	11.00	12.00	25.00	26.00
23	1	0	1	0	12.00	12.00	25.00	26.00
24	0	1	0	1	12.00	13.00	25.00	26.00
25	1	0	1	0	13.00	13.00	25.00	26.00
26	0	1	0	1	13.00	14.00	25.00	26.00
27	1	0	1	0	14.00	14.00	25.00	26.00
28	0	1	0	1	14.00	15.00	25.00	26.00
29	1	0	1	0	15.00	15.00	25.00	26.00
30	0	1	0	1	15.00	16.00	25.00	26.00
31	1	0	1	0	16.00	16.00	25.00	26.00
32	0	1	0	1	16.00	17.00	25.00	26.00
33	1	0	1	0	17.00	17.00	25.00	26.00
34	0	1	0	1	17.00	18.00	25.00	26.00
35	1	0	1	0	18.00	18.00	25.00	26.00
36	0	1	0	1	18.00	19.00	25.00	26.00
37	1	0	1	0	19.00	19.00	25.00	26.00
38	0	1	0	1	19.00	20.00	25.00	26.00
39	1	0	1	0	20.00	20.00	25.00	26.00
40	0	1	0	1	20.00	21.00	25.00	26.00
41	1	0	1	0	21.00	21.00	25.00	26.00
42	0	1	0	1	21.00	22.00	25.00	26.00
43	1	0	1	0	22.00	22.00	25.00	26.00
44	0	1	0	1	22.00	23.00	25.00	26.00
45	1	0	1	0	23.00	23.00	25.00	26.00
46	0	1	0	1	23.00	24.00	25.00	26.00
47	1	0	1	0	24.00	24.00	25.00	26.00
48	0	1	0	1	24.00	25.00	25.00	26.00
49	1	0	1	0	25.00	25.00	25.00	26.00
50	0	1	0	1	25.00	26.00	25.00	26.00
ROUND_NO89	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	0	0	0.6	0.6	0.60	0.60	26.00	25.00
2	1	0	1	0	1.60	0.60	26.00	25.00
3	0	0	0.6	0.6	2.20	1.20	26.00	25.00
4	0	0	0.6	0.6	2.80	1.80	26.00	25.00
5	0	0	0.6	0.6	3.40	2.40	26.00	25.00
6	0	0	0.6	0.6	4.00	3.00	26.00	25.00
7	0	1	0	1	4.00	4.00	26.00	25.00
8	1	0	1	0	5.00	4.00	26.00	25.00
9	0	1	0	1	5.00	5.00	26.00	25.00
10	1	0	1	0	6.00	5.00	26.00	25.00
11	0	1	0	1	6.00	6.00	26.00	25.00
12	1	0	1	0	7.00	6.00	26.00	25.00
13	0	1	0	1	7.00	7.00	26.00	25.00
14	1	0	1	0	8.00	7.00	26.00	25.00
15	0	1	0	1	8.00	8.00	26.00	25.00
16	1	0	1	0	9.00	8.00	26.00	25.00
17	0	1	0	1	9.00	9.00	26.00	25.00
18	1	0	1	0	10.00	9.00	26.00	25.00
19	0	1	0	1	10.00	10.00	26.00	25.00
20	1	0	1	0	11.00	10.00	26.00	25.00
21	0	1	0	1	11.00	11.00	26.00	25.00
22	1	0	1	0	12.00	11.00	26.00	25.00
23	0	1	0	1	12.00	12.00	26.00	25.00
24	1	0	1	0	13.00	12.00	26.00	25.00
25	0	1	0	1	13.00	13.00	26.00	25.00
26	1	0	1	0	14.00	13.00	26.00	25.00
27	0	1	0	1	14.00	14.00	26.00	25.00
28	1	0	1	0	15.00	14.00	26.00	25.00
29	0	1	0	1	15.00	15.00	26.00	25.00
30	1	0	1	0	16.00	15.00	26.00	25.00
31	0	1	0	1	16.00	16.00	26.00	25.00
32	1	0	1	0	17.00	16.00	26.00	25.00
33	0	1	0	1	17.00	17.00	26.00	25.00
34	1	0	1	0	18.00	17.00	26.00	25.00
35	0	1	0	1	18.00	18.00	26.00	25.00
36	1	0	1	0	19.00	18.00	26.00	25.00
37	0	1	0	1	19.00	19.00	26.00	25.00
38	1	0	1	0	20.00	19.00	26.00	25.00
39	0	1	0	1	20.00	20.00	26.00	25.00
40	1	0	1	0	21.00	20.00	26.00	25.00
41	0	1	0	1	21.00	21.00	26.00	25.00
42	1	0	1	0	22.00	21.00	26.00	25.00
43	0	1	0	1	22.00	22.00	26.00	25.00
44	1	0	1	0	23.00	22.00	26.00	25.00
45	0	1	0	1	23.00	23.00	26.00	25.00
46	1	0	1	0	24.00	23.00	26.00	25.00
47	0	1	0	1	24.00	24.00	26.00	25.00
48	1	0	1	0	25.00	24.00	26.00	25.00
49	0	1	0	1	25.00	25.00	26.00	25.00
50	1	0	1	0	26.00	25.00	26.00	25.00
ROUND_NO90	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	0	1	0	1	0.00	1.00	27.80	28.80
2	0	0	0.6	0.6	0.60	1.60	27.80	28.80
3	0	1	0	1	0.60	2.60	27.80	28.80
4	1	0	1	0	1.60	2.60	27.80	28.80
5	0	1	0	1	1.60	3.60	27.80	28.80
6	1	0	1	0	2.60	3.60	27.80	28.80
7	0	0	0.6	0.6	3.20	4.20	27.80	28.80
8	0	0	0.6	0.6	3.80	4.80	27.80	28.80
9	0	0	0.6	0.6	4.40	5.40	27.80	28.80
10	0	0	0.6	0.6	5.00	6.00	27.80	28.80
11	0	0	0.6	0.6	5.60	6.60	27.80	28.80
12	0	0	0.6	0.6	6.20	7.20	27.80	28.80
13	0	1	0	1	6.20	8.20	27.80	28.80
14	0	0	0.6	0.6	6.80	8.80	27.80	28.80
15	0	0	0.6	0.6	7.40	9.40	27.80	28.80
16	0	0	0.6	0.6	8.00	10.00	27.80	28.80
17	0	0	0.6	0.6	8.60	10.60	27.80	28.80
18	0	0	0.6	0.6	9.20	11.20	27.80	28.80
19	0	0	0.6	0.6	9.80	11.80	27.80	28.80
20	0	0	0.6	0.6	10.40	12.40	27.80	28.80
21	0	0	0.6	0.6	11.00	13.00	27.80	28.80
22	0	0	0.6	0.6	11.60	13.60	27.80	28.80
23	0	0	0.6	0.6	12.20	14.20	27.80	28.80
24	0	0	0.6	0.6	12.80	14.80	27.80	28.80
25	0	0	0.6	0.6	13.40	15.40	27.80	28.80
26	0	0	0.6	0.6	14.00	16.00	27.80	28.80
27	0	0	0.6	0.6	14.60	16.60	27.80	28.80
28	0	0	0.6	0.6	15.20	17.20	27.80	28.80
29	0	0	0.6	0.6	15.80	17.80	27.80	28.80
30	0	0	0.6	0.6	16.40	18.40	27.80	28.80
31	0	0	0.6	0.6	17.00	19.00	27.80	28.80
32	0	0	0.6	0.6	17.60	19.60	27.80	28.80
33	0	0	0.6	0.6	18.20	20.20	27.80	28.80
34	0	0	0.6	0.6	18.80	20.80	27.80	28.80
35	0	0	0.6	0.6	19.40	21.40	27.80	28.80
36	0	0	0.6	0.6	20.00	22.00	27.80	28.80
37	1	0	1	0	21.00	22.00	27.80	28.80
38	0	0	0.6	0.6	21.60	22.60	27.80	28.80
39	0	0	0.6	0.6	22.20	23.20	27.80	28.80
40	0	0	0.6	0.6	22.80	23.80	27.80	28.80
41	0	1	0	1	22.80	24.80	27.80	28.80
42	1	0	1	0	23.80	24.80	27.80	28.80
43	0	1	0	1	23.80	25.80	27.80	28.80
44	1	0	1	0	24.80	25.80	27.80	28.80
45	0	1	0	1	24.80	26.80	27.80	28.80
46	1	0	1	0	25.80	26.80	27.80	28.80
47	0	1	0	1	25.80	27.80	27.80	28.80
48	1	0	1	0	26.80	27.80	27.80	28.80
49	0	1	0	1	26.80	28.80	27.80	28.80
50	1	0	1	0	27.80	28.80	27.80	28.80
ROUND_NO91	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	0	1	0	1	0.00	1.00	25.00	25.00
2	1	0	1	0	1.00	1.00	25.00	25.00
3	0	1	0	1	1.00	2.00	25.00	25.00
4	1	0	1	0	2.00	2.00	25.00	25.00
5	0	1	0	1	2.00	3.00	25.00	25.00
6	1	0	1	0	3.00	3.00	25.00	25.00
7	0	1	0	1	3.00	4.00	25.00	25.00
8	1	0	1	0	4.00	4.00	25.00	25.00
9	0	1	0	1	4.00	5.00	25.00	25.00
10	1	0	1	0	5.00	5.00	25.00	25.00
11	0	1	0	1	5.00	6.00	25.00	25.00
12	1	0	1	0	6.00	6.00	25.00	25.00
13	0	1	0	1	6.00	7.00	25.00	25.00
14	1	0	1	0	7.00	7.00	25.00	25.00
15	0	1	0	1	7.00	8.00	25.00	25.00
16	1	0	1	0	8.00	8.00	25.00	25.00
17	0	1	0	1	8.00	9.00	25.00	25.00
18	1	0	1	0	9.00	9.00	25.00	25.00
19	0	1	0	1	9.00	10.00	25.00	25.00
20	1	0	1	0	10.00	10.00	25.00	25.00
21	0	1	0	1	10.00	11.00	25.00	25.00
22	1	0	1	0	11.00	11.00	25.00	25.00
23	0	1	0	1	11.00	12.00	25.00	25.00
24	1	0	1	0	12.00	12.00	25.00	25.00
25	0	1	0	1	12.00	13.00	25.00	25.00
26	1	0	1	0	13.00	13.00	25.00	25.00
27	0	1	0	1	13.00	14.00	25.00	25.00
28	1	0	1	0	14.00	14.00	25.00	25.00
29	0	1	0	1	14.00	15.00	25.00	25.00
30	1	0	1	0	15.00	15.00	25.00	25.00
31	0	1	0	1	15.00	16.00	25.00	25.00
32	1	0	1	0	16.00	16.00	25.00	25.00
33	0	1	0	1	16.00	17.00	25.00	25.00
34	1	0	1	0	17.00	17.00	25.00	25.00
35	0	1	0	1	17.00	18.00	25.00	25.00
36	1	0	1	0	18.00	18.00	25.00	25.00
37	0	1	0	1	18.00	19.00	25.00	25.00
38	1	0	1	0	19.00	19.00	25.00	25.00
39	0	1	0	1	19.00	20.00	25.00	25.00
40	1	0	1	0	20.00	20.00	25.00	25.00
41	0	1	0	1	20.00	21.00	25.00	25.00
42	1	0	1	0	21.00	21.00	25.00	25.00
43	0	1	0	1	21.00	22.00	25.00	25.00
44	1	0	1	0	22.00	22.00	25.00	25.00
45	0	1	0	1	22.00	23.00	25.00	25.00
46	1	0	1	0	23.00	23.00	25.00	25.00
47	0	1	0	1	23.00	24.00	25.00	25.00
48	1	0	1	0	24.00	24.00	25.00	25.00
49	0	1	0	1	24.00	25.00	25.00	25.00
50	1	0	1	0	25.00	25.00	25.00	25.00
ROUND_NO92	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	0	0	0.6	0.6	0.60	0.60	29.80	25.80
2	1	0	1	0	1.60	0.60	29.80	25.80
3	0	0	0.6	0.6	2.20	1.20	29.80	25.80
4	0	0	0.6	0.6	2.80	1.80	29.80	25.80
5	0	0	0.6	0.6	3.40	2.40	29.80	25.80
6	0	0	0.6	0.6	4.00	3.00	29.80	25.80
7	0	0	0.6	0.6	4.60	3.60	29.80	25.80
8	0	0	0.6	0.6	5.20	4.20	29.80	25.80
9	0	0	0.6	0.6	5.80	4.80	29.80	25.80
10	0	0	0.6	0.6	6.40	5.40	29.80	25.80
11	0	0	0.6	0.6	7.00	6.00	29.80	25.80
12	0	0	0.6	0.6	7.60	6.60	29.80	25.80
13	0	1	0	1	7.60	7.60	29.80	25.80
14	0	0	0.6	0.6	8.20	8.20	29.80	25.80
15	0	0	0.6	0.6	8.80	8.80	29.80	25.80
16	0	0	0.6	0.6	9.40	9.40	29.80	25.80
17	0	0	0.6	0.6	10.00	10.00	29.80	25.80
18	1	0	1	0	11.00	10.00	29.80	25.80
19	0	0	0.6	0.6	11.60	10.60	29.80	25.80
20	0	0	0.6	0.6	12.20	11.20	29.80	25.80
21	0	0	0.6	0.6	12.80	11.80	29.80	25.80
22	0	0	0.6	0.6	13.40	12.40	29.80	25.80
23	0	0	0.6	0.6	14.00	13.00	29.80	25.80
24	0	0	0.6	0.6	14.60	13.60	29.80	25.80
25	0	0	0.6	0.6	15.20	14.20	29.80	25.80
26	0	1	0	1	15.20	15.20	29.80	25.80
27	0	0	0.6	0.6	15.80	15.80	29.80	25.80
28	0	0	0.6	0.6	16.40	16.40	29.80	25.80
29	0	0	0.6	0.6	17.00	17.00	29.80	25.80
30	0	0	0.6	0.6	17.60	17.60	29.80	25.80
31	0	0	0.6	0.6	18.20	18.20	29.80	25.80
32	0	0	0.6	0.6	18.80	18.80	29.80	25.80
33	0	0	0.6	0.6	19.40	19.40	29.80	25.80
34	0	0	0.6	0.6	20.00	20.00	29.80	25.80
35	0	0	0.6	0.6	20.60	20.60	29.80	25.80
36	0	0	0.6	0.6	21.20	21.20	29.80	25.80
37	1	0	1	0	22.20	21.20	29.80	25.80
38	0	0	0.6	0.6	22.80	21.80	29.80	25.80
39	0	0	0.6	0.6	23.40	22.40	29.80	25.80
40	0	0	0.6	0.6	24.00	23.00	29.80	25.80
41	1	0	1	0	25.00	23.00	29.80	25.80
42	1	1	0.2	0.2	25.20	23.20	29.80	25.80
43	0	1	0	1	25.20	24.20	29.80	25.80
44	1	0	1	0	26.20	24.20	29.80	25.80
45	1	1	0.2	0.2	26.40	24.40	29.80	25.80
46	1	1	0.2	0.2	26.60	24.60	29.80	25.80
47	0	0	0.6	0.6	27.20	25.20	29.80	25.80
48	0	0	0.6	0.6	27.80	25.80	29.80	25.80
49	1	0	1	0	28.80	25.80	29.80	25.80
50	1	0	1	0	29.80	25.80	29.80	25.80
ROUND_NO93	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	1	0	1	0	1.00	0.00	27.20	25.20
2	0	1	0	1	1.00	1.00	27.20	25.20
3	0	0	0.6	0.6	1.60	1.60	27.20	25.20
4	0	0	0.6	0.6	2.20	2.20	27.20	25.20
5	1	0	1	0	3.20	2.20	27.20	25.20
6	0	0	0.6	0.6	3.80	2.80	27.20	25.20
7	0	0	0.6	0.6	4.40	3.40	27.20	25.20
8	0	0	0.6	0.6	5.00	4.00	27.20	25.20
9	0	0	0.6	0.6	5.60	4.60	27.20	25.20
10	1	0	1	0	6.60	4.60	27.20	25.20
11	0	0	0.6	0.6	7.20	5.20	27.20	25.20
12	0	0	0.6	0.6	7.80	5.80	27.20	25.20
13	0	1	0	1	7.80	6.80	27.20	25.20
14	0	0	0.6	0.6	8.40	7.40	27.20	25.20
15	0	0	0.6	0.6	9.00	8.00	27.20	25.20
16	0	0	0.6	0.6	9.60	8.60	27.20	25.20
17	0	0	0.6	0.6	10.20	9.20	27.20	25.20
18	1	0	1	0	11.20	9.20	27.20	25.20
19	0	1	0	1	11.20	10.20	27.20	25.20
20	1	0	1	0	12.20	10.20	27.20	25.20
21	0	1	0	1	12.20	11.20	27.20	25.20
22	1	0	1	0	13.20	11.20	27.20	25.20
23	0	1	0	1	13.20	12.20	27.20	25.20
24	1	0	1	0	14.20	12.20	27.20	25.20
25	0	1	0	1	14.20	13.20	27.20	25.20
26	1	0	1	0	15.20	13.20	27.20	25.20
27	0	1	0	1	15.20	14.20	27.20	25.20
28	1	0	1	0	16.20	14.20	27.20	25.20
29	0	1	0	1	16.20	15.20	27.20	25.20
30	1	0	1	0	17.20	15.20	27.20	25.20
31	0	1	0	1	17.20	16.20	27.20	25.20
32	1	0	1	0	18.20	16.20	27.20	25.20
33	0	1	0	1	18.20	17.20	27.20	25.20
34	1	0	1	0	19.20	17.20	27.20	25.20
35	0	1	0	1	19.20	18.20	27.20	25.20
36	1	0	1	0	20.20	18.20	27.20	25.20
37	0	1	0	1	20.20	19.20	27.20	25.20
38	1	0	1	0	21.20	19.20	27.20	25.20
39	0	1	0	1	21.20	20.20	27.20	25.20
40	1	0	1	0	22.20	20.20	27.20	25.20
41	0	1	0	1	22.20	21.20	27.20	25.20
42	1	0	1	0	23.20	21.20	27.20	25.20
43	0	1	0	1	23.20	22.20	27.20	25.20
44	1	0	1	0	24.20	22.20	27.20	25.20
45	0	1	0	1	24.20	23.20	27.20	25.20
46	1	0	1	0	25.20	23.20	27.20	25.20
47	0	1	0	1	25.20	24.20	27.20	25.20
48	1	0	1	0	26.20	24.20	27.20	25.20
49	0	1	0	1	26.20	25.20	27.20	25.20
50	1	0	1	0	27.20	25.20	27.20	25.20
ROUND_NO94	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	1	1	0.2	0.2	0.20	0.20	25.80	26.80
2	0	0	0.6	0.6	0.80	0.80	25.80	26.80
3	0	0	0.6	0.6	1.40	1.40	25.80	26.80
4	0	1	0	1	1.40	2.40	25.80	26.80
5	0	0	0.6	0.6	2.00	3.00	25.80	26.80
6	0	0	0.6	0.6	2.60	3.60	25.80	26.80
7	0	0	0.6	0.6	3.20	4.20	25.80	26.80
8	0	0	0.6	0.6	3.80	4.80	25.80	26.80
9	0	0	0.6	0.6	4.40	5.40	25.80	26.80
10	1	0	1	0	5.40	5.40	25.80	26.80
11	0	0	0.6	0.6	6.00	6.00	25.80	26.80
12	0	0	0.6	0.6	6.60	6.60	25.80	26.80
13	0	0	0.6	0.6	7.20	7.20	25.80	26.80
14	0	0	0.6	0.6	7.80	7.80	25.80	26.80
15	0	0	0.6	0.6	8.40	8.40	25.80	26.80
16	0	0	0.6	0.6	9.00	9.00	25.80	26.80
17	0	0	0.6	0.6	9.60	9.60	25.80	26.80
18	0	0	0.6	0.6	10.20	10.20	25.80	26.80
19	0	0	0.6	0.6	10.80	10.80	25.80	26.80
20	0	1	0	1	10.80	11.80	25.80	26.80
21	1	0	1	0	11.80	11.80	25.80	26.80
22	0	1	0	1	11.80	12.80	25.80	26.80
23	1	0	1	0	12.80	12.80	25.80	26.80
24	0	1	0	1	12.80	13.80	25.80	26.80
25	1	0	1	0	13.80	13.80	25.80	26.80
26	0	1	0	1	13.80	14.80	25.80	26.80
27	1	0	1	0	14.80	14.80	25.80	26.80
28	0	1	0	1	14.80	15.80	25.80	26.80
29	1	0	1	0	15.80	15.80	25.80	26.80
30	0	1	0	1	15.80	16.80	25.80	26.80
31	1	0	1	0	16.80	16.80	25.80	26.80
32	0	1	0	1	16.80	17.80	25.80	26.80
33	1	0	1	0	17.80	17.80	25.80	26.80
34	0	1	0	1	17.80	18.80	25.80	26.80
35	1	0	1	0	18.80	18.80	25.80	26.80
36	0	1	0	1	18.80	19.80	25.80	26.80
37	1	0	1	0	19.80	19.80	25.80	26.80
38	0	1	0	1	19.80	20.80	25.80	26.80
39	1	0	1	0	20.80	20.80	25.80	26.80
40	0	1	0	1	20.80	21.80	25.80	26.80
41	1	0	1	0	21.80	21.80	25.80	26.80
42	0	1	0	1	21.80	22.80	25.80	26.80
43	1	0	1	0	22.80	22.80	25.80	26.80
44	0	1	0	1	22.80	23.80	25.80	26.80
45	1	0	1	0	23.80	23.80	25.80	26.80
46	0	1	0	1	23.80	24.80	25.80	26.80
47	1	0	1	0	24.80	24.80	25.80	26.80
48	0	1	0	1	24.80	25.80	25.80	26.80
49	1	0	1	0	25.80	25.80	25.80	26.80
50	0	1	0	1	25.80	26.80	25.80	26.80
ROUND_NO95	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	0	1	0	1	0.00	1.00	25.00	25.00
2	1	0	1	0	1.00	1.00	25.00	25.00
3	0	1	0	1	1.00	2.00	25.00	25.00
4	1	0	1	0	2.00	2.00	25.00	25.00
5	0	1	0	1	2.00	3.00	25.00	25.00
6	1	0	1	0	3.00	3.00	25.00	25.00
7	0	1	0	1	3.00	4.00	25.00	25.00
8	1	0	1	0	4.00	4.00	25.00	25.00
9	0	1	0	1	4.00	5.00	25.00	25.00
10	1	0	1	0	5.00	5.00	25.00	25.00
11	0	1	0	1	5.00	6.00	25.00	25.00
12	1	0	1	0	6.00	6.00	25.00	25.00
13	0	1	0	1	6.00	7.00	25.00	25.00
14	1	0	1	0	7.00	7.00	25.00	25.00
15	0	1	0	1	7.00	8.00	25.00	25.00
16	1	0	1	0	8.00	8.00	25.00	25.00
17	0	1	0	1	8.00	9.00	25.00	25.00
18	1	0	1	0	9.00	9.00	25.00	25.00
19	0	1	0	1	9.00	10.00	25.00	25.00
20	1	0	1	0	10.00	10.00	25.00	25.00
21	0	1	0	1	10.00	11.00	25.00	25.00
22	1	0	1	0	11.00	11.00	25.00	25.00
23	0	1	0	1	11.00	12.00	25.00	25.00
24	1	0	1	0	12.00	12.00	25.00	25.00
